view,removed,present,degree,strength,largest_component_nodes,components,global_efficiency_loss
validated,salt,True,27,29.0,230,116,0.018657567977864137
validated,wool,True,4,4.0,270,97,0.0006830713544638684
validated,pashm,True,4,5.0,267,98,0.0018730137211597914
validated,grain,True,3,3.0,269,98,0.0008192863530033095
validated,barley,True,4,4.0,270,97,0.0023045614810329185
validated,tea,True,5,5.0,267,99,0.0017721905185330636
validated,borax,False,0,0,272,96,0.0
validated_probable,salt,True,27,29.0,271,129,0.017586496026815814
validated_probable,wool,True,4,4.0,317,110,0.0005682751562803567
validated_probable,pashm,True,4,5.0,309,111,0.002969913299494281
validated_probable,grain,True,3,3.0,316,111,0.000688716728421572
validated_probable,barley,True,5,5.0,315,111,0.0027800164796809856
validated_probable,tea,True,5,5.0,314,112,0.001476469451313453
validated_probable,borax,False,0,0,319,109,0.0
validated_no_concept,salt,True,22,24.0,72,97,0.018993236942081246
validated_no_concept,wool,True,2,2.0,107,79,0.0003467966479230658
validated_no_concept,pashm,True,4,5.0,103,81,0.0026933025744314415
validated_no_concept,grain,True,2,2.0,108,80,-0.00021641409040416143
validated_no_concept,barley,True,4,4.0,106,80,0.001977632650669199
validated_no_concept,tea,True,4,4.0,105,81,0.0014612627390871921
validated_no_concept,borax,False,0,0,108,79,0.0
validated_probable_no_concept,salt,True,22,24.0,90,110,0.016516538136510283
validated_probable_no_concept,wool,True,2,2.0,129,92,0.00027725588757662734
validated_probable_no_concept,pashm,True,4,5.0,121,94,0.003489105009774583
validated_probable_no_concept,grain,True,2,2.0,130,93,-0.00015274609686423413
validated_probable_no_concept,barley,True,5,5.0,127,94,0.002199847152230601
validated_probable_no_concept,tea,True,4,4.0,127,94,0.0011473578978905136
validated_probable_no_concept,borax,False,0,0,130,92,0.0
validated_trade_only,salt,True,21,22.0,114,83,0.01893592206040956
validated_trade_only,wool,True,3,3.0,134,70,0.0016817092932275776
validated_trade_only,pashm,True,4,4.0,132,70,0.0025288748173637743
validated_trade_only,grain,True,3,3.0,134,70,0.0013281375817819074
validated_trade_only,barley,True,4,4.0,135,69,0.003166700924648949
validated_trade_only,tea,True,5,5.0,132,71,0.002316977240881035
validated_trade_only,borax,False,0,0,137,68,0.0
validated_probable_trade_only,salt,True,21,22.0,133,101,0.015793786082117556
validated_probable_trade_only,wool,True,3,3.0,154,88,0.001309499425640008
validated_probable_trade_only,pashm,True,4,4.0,147,88,0.003721916524686085
validated_probable_trade_only,grain,True,3,3.0,154,88,0.001046389482864396
validated_probable_trade_only,barley,True,5,5.0,153,88,0.0036483150943063605
validated_probable_trade_only,tea,True,5,5.0,152,89,0.001819880151898011
validated_probable_trade_only,borax,False,0,0,157,86,0.0
