Place,Latitude,Longitude
Baltimore,39.2908816,-76.610759
Bangkok,13.7524938,100.4935089
Peru,-6.8699697,-75.0458515
Geneva,46.2017559,6.1466014
Burns,43.5861256,-119.054413
Barbara,43.5811545,13.0264814
Scotland,56.7861112,-4.1140518
Guangdong,23.1357694,113.1982688
Kengtung,21.2918037,99.6028652
Scott,39.6333408,-90.4753685
Sumatran,-36.86253825,174.71916129836268
ed.,38.88648535,-77.01872855341938
Hubei,31.15305035,112.88064226239663
Thailand,14.8971921,100.83273
New Peoples,43.3047678,-112.2115865
Miao,27.4873015,96.2063386
hinterland,47.3242151,9.263048136992833
Preben,55.9301161,8.94658904802112
Surinam,4.1413025,-56.0771187
Odyssey,38.7453944,-76.6294061
St. Petersburg,59.9606739,30.1586551
Red Hills,13.1922788,80.1837662
Bombay,19.054999,72.8692035
Saya San,0.4292138,-77.8734005
Roma,41.8933203,12.4829321
Kamu,1.3054999,34.322092
Orang,41.4505203,129.6585472
Britain,54.3151594,-1.9181532111487878
Hungary,47.1817585,19.5060937
Charlemagne,45.725519649999995,-73.4896922220162
Bengal,39.4735045,-85.9228997
North West Frontier Province,33.712802,71.2678805
Thamanya,16.4406711,97.6325962
Marseille,43.2961743,5.3699525
West Africa,47.3138746,5.0488196
Guizhou,27.0,107.0
Siam,44.6695002,8.337265
Muong,24.5438732,118.0768065
Columbus,39.9622601,-83.0007065
45–46,30.0232497,-98.8654217
Java,-6.71150765,110.63371366935611
Brazil,-10.3333333,-53.2
Tai States,38.94351915,-77.07670764024164
Clifford,47.3480408,-97.4106449
Yuanyang,23.0815324,102.8323996
43–44,30.024239,-98.8694825
Seminoles,16.7955717,-93.118296
Cornelia,34.5114883,-83.5271166
Southampton,50.9025349,-1.404189
Melford,45.8615642,-61.2707523
Saint-Domingue,18.4801972,-69.942111
the Han Empire,37.62344005,127.09119593561445
New York,40.7127281,-74.0060152
the Highlands of Vietnam,21.0685586,105.8027002
hill zone,-2.49760685,32.98087280075738
Deleuze,40.4235505,-3.7075583
Morocco,28.3347722,-10.371337908392647
Jesuit,-27.056007899999997,-55.75426222769941
Pirate,36.1182718,-92.1340932
M.A.,18.4924188,-69.8051757483058
Civilization,41.4798286,-81.689524
Algeria,28.0000272,2.9999825
Tibet,31.669202499999997,87.47322500528882
Upper,0.3111729,32.6046208
Khamen,14.3808866,98.9109694
Bakhtiari,29.752243,54.1955312
Afghanistan,33.7680065,66.2385139
Englewood Cliffs,40.8853773,-73.9523597
United States,39.7837304,-100.445882
Yangon,16.7967129,96.1609916
Allan,44.4994956,4.7865402
Barkey,5.58308,-9.69105
Wolters,52.8837519,8.905841898280368
Hong Kong,22.350627,114.1849161
k’à,38.1052117,20.5384757
The Russian State,55.77756875,37.59646061377177
Paris,48.8588897,2.3200410217200766
Brayton,50.8214626,-0.1400561
dammar,46.5794961,-120.7040486
102–5,33.3254572,44.4092721
Palo Alto,37.4443293,-122.1598465
Islam,38.5752804,40.9736911
Valley States,44.05960453825892,-124.0536145386105
Richmond,37.5385087,-77.43428
Pasuruan,-7.7508114,112.81848297670143
Keeton,44.4689369,-73.5529139
New Guinea,-5.5226203,142.08711943819077
Batavia,-6.1754049,106.827168
Indochina,16.069987349999998,108.22454985175717
Smith,32.3402898,-95.2563971
Hunan province,27.6662087,111.7487063
Khorat,14.9747339,102.0981161
Leviathan,43.84450555,-79.54238716463878
Calif.,36.7014631,-118.755997
Bassein,27.96371985,34.40424629136078
Gonzalo,18.9513846,-69.7509766
Ratburi province,13.5893034,99.8302242
Guangxi,24.0,109.0
Bowie,33.4198886,-94.4479626
Athens,33.9597677,-83.376398
U.S.,39.7837304,-100.445882
Alatas,40.820335,39.688179
49–80,53.01516325,18.544090122325695
Dogon,-9.954682,149.4279088
Syracuse,43.0481221,-76.1474244
India,22.3511148,78.6677428
"New 
York",40.7127281,-74.0060152
the Chinese Empire,38.6745955,-77.3343016
Khamu,32.6944687,76.105417
Wheatley,51.7472215,-1.1373974
Inka,-16.4822348,-67.8302819
Arizona,34.395342,-111.763275
Cummings,39.4627757,-95.2474709
Blust,47.780126800000005,8.246669841128568
Theravada,16.8730656,96.14946328304138
Kalmyk,46.9017116,45.249161
the Kingdom of Siam,34.3161076,109.03327959921805
Basel,47.5581077,7.5878261
Sparta,37.08114525,22.42486178272022
Jenks,36.0228734,-95.9683278
Medieval Anatolia,38.742093100000005,42.45803179420761
Lolo,46.7568598,-114.0822998
Jogjakarta,-7.8011998,110.3646608
Ferdinand,38.223944,-86.8622155
Luangnamtha,20.933004,101.05867365757615
insignia,47.616753900000006,-122.34331657457996
Hinterland,47.3242151,9.263048136992833
Yue,32.9050419,130.1399392
Greece,38.9953683,21.9877132
Crossley,-38.31703950000001,142.31342885422777
Colombia,4.099917,-72.9088133
Surabaya,-7.2459717,112.7378266
Boston,42.3554334,-71.060511
Hobbes,41.6500659,-0.8757694
Hong Son,30.5028043,114.3378431
pagan,21.1317111,94.8623644
XIXème,48.7941711,-0.4063701520995645
1733–37,39.5741156,2.6723882
Stowe,44.4643768,-72.6856197
Tavistock,50.5496154,-4.1446358
Sikkim,27.601029,88.45413638680145
Conn.,41.6500201,-72.7342163
Melanesia,-9.05,158.75
Ho Chi Minh City,10.7763897,106.7011391
Bananas,-25.133318,-52.602464
New Haven,41.3082138,-72.9250518
D.C.,38.89384735,-76.98804281910948
Venice,45.4371908,12.3345898
German Democratic Republic,48.2587449,14.4990346
"New 
York:",40.7127281,-74.0060152
Literacy,44.63714195,-124.05663687509237
Japan,36.5748441,139.2394179
Golconda,37.3672744,-88.4864316
Utah,39.4225192,-111.714358
Peking,40.190632,116.412144
Thai Society,53.3721377,-2.3608495
Cossacks,56.7248737,-2.9756022
Canfield,41.025059,-80.760912
Modern States,40.01575,-105.2577592
Pegu,17.336667,96.479722
Delhi,28.6273928,77.1716954
Malaysia,4.5693754,102.2656823
Russia,64.6863136,97.7453061
Perak,4.812181,100.9797908
Maroon,-28.191638,152.69064307213114
krishnan,53.6529427,-2.6307534
Poland,52.215933,19.134422
Thongchai,11.361311,99.5793477
Tswana,-23.1681782,24.5928742
Edmund,42.9676284,-90.2643838
Central Sulawesi,-1.6937786,120.8088555
Hindu India,17.404174400000002,78.48697315685087
Lanna,-5.2478196,119.6408901
Cambridge,52.2055314,0.1186637
91–92,39.977464100000006,32.710284157239634
British,55.001251,-125.002441
Barfield,35.7850666,-86.4266589
Nghe,21.01121605,105.53601259654594
Hanoi,21.0283334,105.854041
Baha’i,18.00607455,-76.77065805000001
the United States of America,47.8281626,-122.598365
Khmer,43.6980029,7.2764709
Sichuan,30.5000001,102.4999999
Bali,-8.2271303,115.1919203
Concepts,47.6936056,-117.4273976
Highland Peoples,29.7424549,-95.4534791
Burman,43.5750652,39.7289616
Cordell,38.0056456,-82.7929381
Manipuri,24.7208818,93.9229386
Iliad,31.2955678,77.1369731
Ohio,40.2253569,-82.6881395
Henley,51.5375786,-0.9050287
Thais,46.7564837,0.9109218
Spartan,6.3660642,124.5359646
Armenia,4.491976149999999,-75.74135085294314
Kenyah,-0.4552305,117.1472305
Malayu,43.6084625,1.4496309
Rwanda,-1.9646631,30.0644358
Mandalay,21.9596834,96.0948743
Iroquois,40.7351265,-87.8309209
Imami,35.8125327,51.4070862
Md.,47.2879608,28.5670941
Sanskrit,55.7472693,37.5885791
North Carolina,35.6729639,-79.0392919
Manchester,53.4794892,-2.2451148
Mass.,42.3788774,-72.032366
Waveland,30.2853636,-89.3720685
Solway,47.5199538,-95.1291755
Mountain,48.6843951,-97.8652374
Sulawesi,-1.0074826,121.47984106635917
Long Grove,42.1783584,-87.9978518
Willem,-20.5232331,14.4523824
Amsterdam,52.3730796,4.8924534
Colquhoun,-37.7584993,147.9436789
Steel,0.4302205,33.2300475
Le,40.152217300000004,18.2260628338229
Gothenburg,57.7072326,11.9670171
Kuala Lumpur,3.1526589,101.7022205
lowland states,-1.2136405,36.87930533266044
Brandenburg,52.8455492,13.2461296
Germany,51.1638175,10.4478313
Mexico City,19.4326296,-99.1331785
Laos,20.0171109,103.378253
Vientiane,17.9640988,102.6133707
Istanbul,41.006381,28.9758715
Vuong,54.7023545,-3.2765753
colonies,38.9270858,-92.36350759116169
Holmberg,49.6179362,11.4314127
Lynn,33.1474257,-101.812592
Geertz,45.62300978498419,-88.00078425602659
’s,47.7981346,13.0464806
Gazetteer,44.0206027,144.2732035
Singapore,1.357107,103.8194992
Lisu,25.8211184,98.8571798
François,46.3728781,-0.3458596
Sittang,18.7411239,96.4584139
England,52.5310214,-1.2649062
Florida,27.7567667,-81.4639835
Transforming,45.330010099999996,-75.72787102049875
Holi,32.32474705,76.57112231719572
Mueggler,47.47571295,9.584783816652173
Karen,-1.3283746,36.7049676
Kachin,26.0207656,97.4919258
Berlin,52.510885,13.3989367
Rome,41.8933203,12.4829321
Burma,17.1750495,95.9999652
Thaton,16.9136941,97.3689718
San San Lin,52.5079257,13.3144027
Iraq,33.0955793,44.1749775
Great Lakes,42.3093241,-87.8496551
France,46.603354,1.8883335
Hunan,27.6662087,111.7487063
Congo,-2.9814344,23.8222636
Aung Tha,22.36756285,95.53259381925083
Johor,2.0228821,103.3114564
La,20.0171109,103.378253
Batek,-9.25646165,123.99311873156738
Philadelphia,39.9527237,-75.1635262
Potosí,-19.5892896,-65.7534713
Kamala,26.70861365,86.16718287020362
Koenig,38.3561554,-91.7682231
Johore,2.0228821,103.3114564
Bangladesh,24.4769288,90.2934413
Vietnam,15.9266657,107.9650855
Kalimantan,1.4297828,114.74104130383714
Ganan,8.0300284,-1.0800271
Sangha,11.1990458,0.11041819057342675
Railroads,41.4179117,-79.7280143
pp.,28.5143487,80.1512946
Pollard,31.0271252,-87.1735825
Korea,37.9528488,126.73311710879327
North Pakistan,31.4674811,74.4329812
Bloch,50.87769055,7.281816772220498
Atlanta,33.7489924,-84.3902644
Rebels,54.616265,9.9256535
Stationery,-12.0726825,-77.0505349
Tibetan,31.8280766,87.4064278
Khoury,32.815820136002415,34.996935292668006
Arash,29.5140564,50.60712410257101
Perspectives,49.2641557,-122.99163902697153
Ava,36.9519236,-92.6600096
Bangkok Siam,13.7456236,100.5342199
Mexico,19.4326296,-99.1331785
mosquitoes,44.3925562,26.0425986
the Kingdom of Lan Na,52.0930785,4.2847782
Lieberman,32.0854042,34.7783183
Karens,55.0274164,9.8768886
Bordeaux,44.841225,-0.5800364
Central Africa,-25.357836,-57.5836513
Mawlamyine,16.4908026,97.6284825
Swidden,36.329402,38.6533247
Sadan,14.5844444,29.4917691
Upper Burma,20.7957352,97.0470971
kingdom,54.7023545,-3.2765753
European States,50.8440606,4.366887278445086
Bringing,47.7096261,-122.3429933
the west bank,-33.5941667,22.1911111
ivory,46.9116985,5.8543101
Amazonia,39.8870003,-94.892021
Padaung,18.717974,95.153526
Swat,35.23247495,72.51163496074679
mark.57,51.4030389,5.385362
Walker,30.6795741,-95.5522823
Amarapura,21.903139,96.049483
Waldo,44.4870161,-69.1365185
Switzerland,46.7985624,8.2319736
Mahayana,10.8508011,76.2711816
South Africa,-28.8166236,24.991639
Empire,39.7611067,-105.682998
Menlo Park:,37.4519671,-122.177992
Indra,57.7691547,27.290113603369704
Negeri,-5.4419353,145.519654
Bonn,50.7352621,7.1024635
Honolulu,21.304547,-157.855676
Saigon,10.7763897,106.7011391
Papun,27.5170033,87.6102676
Littlefield,33.9189172,-102.332836
New York:,40.7127281,-74.0060152
Illuminations,40.709007650000004,-73.93585491162875
Palmares,-8.684226,-35.589032
Madrid,40.4167047,-3.7035825
Indonesia,-2.4833826,117.8902853
Thai,30.018988,79.6460662
Zhuang,14.5742018,121.0578516
Suvarnabhumi,13.6942671,100.7512883
Hmong,18.8162928,98.8834503
Chicago,41.8755616,-87.6244212
Minneapolis,44.9772995,-93.2654692
Edinburgh,55.9533456,-3.1883749
Incas,-30.0779433,-51.0405793
Prussia,41.3738765,-94.506357
Sorghum,41.4710318,2.0790089
Miao-Yao,33.9337493,118.2009439
Chewong,27.5396057,86.5982936
Prapas,57.4299804,25.6153364
Virginia,37.1232245,-78.4927721
Clarendon,34.9359346,-100.8905829
Palembang,-2.9888243,104.7568507
Lopang,-6.1051252,106.1578695
hill,31.9595085,-97.0881654
the United States,47.8281626,-122.598365
Havelock,34.8785,-76.9014457
Great Britain,54.3151594,-1.9181532111487878
Altimira,41.7585801,2.8367199
Orlando,28.5421109,-81.3790304
Kayan,11.8301358,-4.7375283
Koenig.101,30.3220815,-97.72006797238078
Roman Empire,51.5322382,-0.033679
North Africa,41.36259895,2.1596649904253766
Cham,49.2178194,12.6663832
Scarecrow,29.70532760469071,-98.07337606980397
Maran,46.6695547,11.1594185
Makassar,-5.1342962,119.4124282
Corvée,48.4030695,5.6868419
Bugis,1.299966,103.85528918697341
Nicolson,55.9512206,-3.1809675
Imagine,51.7605749,19.486936634011112
Temuan,-33.468031350000004,-70.70558845
Latham,39.9686517,-89.1623092
Sicily,37.587794,14.155048
"Haworth, 1995",40.014058212121206,-75.07302066666666
wet,-4.06071745,136.28020853065766
the United Kingdom,52.45777545,-1.869209938214711
Pegu Yoma,20.9216233,95.2482784
al.,41.000028,19.9999619
Keith,41.1973065,-101.6862537
Mien,56.41843405,14.854946235003979
Felix,36.8686676,-2.6576842
South India,17.3615965,78.4276746
Quezon City,14.6510546,121.0486254
Palaung,22.0831727,95.12985483112526
Hainan,19.2000001,109.5999999
Stamford,41.0534302,-73.5387341
China,35.0000663,104.999955
Nomads,31.5134053,50.8248877
n’t,37.9456724,23.7139908
Semang,-8.5800318,120.2259624
Yi,39.3467083,115.2509065
Pajang,-6.1255146499999995,106.65976929574106
Press,51.7583164,-1.2651448728790433
Netherlands,52.2434979,5.6343227
Lanham,38.965365000000006,-76.84179265424164
Burundi,-3.426449,29.9324519
Province,36.398987,118.5055691
Montagne,45.1417,5.19378
Gaul,50.1813995,7.6535842
Jakun,54.04837,25.837643
Tay,58.30867755,26.69296862697855
Hacienda,13.3760989,123.7977111
Hugh,-24.2991214,133.56124707603465
Kalaw,20.6356843,96.5668786
Tributes,40.5825678,-73.9601825
Keyes,37.56046275,-120.90723290143049
Wiens,-7.810954300000001,110.40670229707418
1930–31,48.5130463,-2.7686291
Gypsies/,11.5401285,104.9162887
Toh,-13.3283335,166.6393196825644
Jamaica,18.1850507,-77.3947693
Isan,7.066667,3.783333
Algiers,36.7729333,3.0588445
Charles,38.4991611,-77.027847
Chiang Mai,18.7882778,98.9858802
Guizhou province,27.0,107.0
Manipur,24.7208818,93.9229386
Patton,40.6339561,-78.6503006
Leach,36.1928686,-94.91358118205042
Bajau,-2.004707,125.97409
Songkhla,6.8790221,100.5498542
Syriam,16.7715004,96.1668305
headlong,-44.5395893,168.5918104
Taung,-27.55326,24.766269
Legge,53.1123337,9.0928298
Mogaung,25.3018588,96.9416995
Maluku,-3.4593849,126.65654898521089
Salemink,51.8480088,5.8805023
Beijing,40.190632,116.412144
Brody,50.0833041,25.1437921
History,51.496510900000004,-0.17600190725447445
Qajar,39.6468868,47.0583332
Condominas,43.2460846,-8.1620761
Iran,32.6475314,54.5643516
Bacon,31.5555512,-82.4442559
"New 
York: Pantheon",42.1025873,-76.0488552
Mecca,21.420847,39.826869
Medina,29.2836281,-99.1126826
Argentina,-34.9964963,-64.9672817
Kayah,19.2812505,97.3291806
America,39.7837304,-100.445882
Israel,30.8124247,34.8594762
Collis,50.8574661,12.1166532
the People’s Republic,40.3736611,127.0870417
Luchun,22.8699749,102.2493372
